epoch,accuracy,loss,val_accuracy,val_loss
0,0.35462939739227295,3.571964979171753,0.6574767827987671,1.7082918882369995
1,0.7947766184806824,1.228347897529602,0.9012138247489929,0.8462886810302734
2,0.8856211304664612,0.8345476388931274,0.9331095218658447,0.6369752883911133
3,0.91377192735672,0.682820200920105,0.9394369721412659,0.5982434153556824
4,0.9306924343109131,0.5934749841690063,0.9566438794136047,0.48852860927581787
5,0.9328189492225647,0.5730235576629639,0.9601304531097412,0.4891483187675476
6,0.9440534710884094,0.5130488276481628,0.9497998356819153,0.47530999779701233
7,0.94111567735672,0.5151528120040894,0.9747869372367859,0.41976794600486755
8,0.9492713809013367,0.4807920753955841,0.9783703684806824,0.3786041736602783
9,0.9514785408973694,0.4557555019855499,0.9706224203109741,0.365642786026001
10,0.9580320119857788,0.4291258752346039,0.9659736752510071,0.37518084049224854
11,0.95732182264328,0.4225412607192993,0.9770144820213318,0.3780467212200165
12,0.956832230091095,0.4475344121456146,0.9724302887916565,0.39775463938713074
13,0.9618737101554871,0.42458853125572205,0.983729362487793,0.33741295337677
14,0.9597107172012329,0.42015862464904785,0.9847301244735718,0.3752077519893646
